,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
773,Madrid,Box/plaza de garaje en venta en Carabanchel,"Marque De Vadillo - Comillas, Madrid","11,000",5, 14,unknown,unknown,2023-10-15
774,Madrid,Box/plaza de garaje en venta en Calle del Gral. Pardiñas,"Salamanca, Fuente Del Berro, Madrid","39,000",0, 11,unknown,unknown,2023-10-15
775,Madrid,Box/plaza de garaje en venta en C. de Torrelaguna,"Hortaleza, Canillas, Madrid","15,500",0, 15,unknown,unknown,2023-10-15
776,Madrid,Box/plaza de garaje en venta en C. de Torrelaguna,"Hortaleza, Canillas, Madrid","13,000",0, 16,unknown,unknown,2023-10-15
777,Madrid,Piso en venta en Villaverde,"Villaverde Alto, Madrid","135,000",0, 5, 2, 1,2023-10-15
778,Madrid,Piso en venta en Calle Daganzo,"Chamartín, Prosperidad, Madrid","310,000",0, 65, 2, 2,2023-10-15
779,Madrid,Piso en venta en Latina,"Aluche, Madrid","108,000",0, 43, 2, 2,2023-10-15
780,Madrid,Box/plaza de garaje en venta en Chamartín,"Ciudad Jardín, Madrid","299,000",0, 263,unknown,unknown,2023-10-15
781,Madrid,Box/plaza de garaje en venta en San Blas,"Simancas, Madrid","22,000",0, 15,unknown,unknown,2023-10-15
782,Madrid,Local comercial en venta en Moratalaz,Madrid,"125,000",0, 60, 4, 2,2023-10-15
783,Madrid,Piso en venta en Centro,"Malasaña - Justicia - Universidad, Madrid","194,900",0, 30, 1, 1,2023-10-15
784,Madrid,Local comercial en venta en C/ del Marqués del Duero,"Retiro, Madrid","375,000",0, 133,unknown, 1,2023-10-15
785,Madrid,Local comercial en venta en Centro,"Malasaña - Justicia - Universidad, Madrid","214,900",0, 124,unknown,unknown,2023-10-15
786,Madrid,Box/plaza de garaje en venta en San Blas,"Simancas, Madrid","22,000",0, 15,unknown,unknown,2023-10-15
787,Madrid,Box/plaza de garaje en venta en Puente De Vallecas,"Numancia, Madrid","20,000",0, 20,unknown,unknown,2023-10-15
788,Madrid,Local comercial en venta en Tetuán,"Valdeacederas, Madrid","1,600,000",0, 1411,unknown,unknown,2023-10-15
789,Madrid,Piso en venta en Calle Pescadores,"San Blas, Rosas, Madrid","124,999",5, 46, 2, 1,2023-10-15
790,Madrid,Piso en venta en Hortaleza,"Canillas, Madrid","398,000",0, 90, 3, 1,2023-10-15
791,Madrid,Piso en venta en Latina,"Las Aguilas - Cuatro Vientos, Madrid","190,000",0, 87,unknown, 1,2023-10-15
792,Madrid,Piso en venta en San Blas,"Rosas, Madrid","105,000",3, 58, 2, 1,2023-10-15
793,Madrid,Piso en venta en San Blas,"Rosas, Madrid","185,000",5, 108, 4, 2,2023-10-15
794,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","125,000",3, 69, 3, 1,2023-10-15
795,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","135,000",0, 33, 1, 1,2023-10-15
796,Madrid,Local comercial en venta en Chamartín,"Castilla, Madrid","350,000",0, 87, 1, 1,2023-10-15
797,Madrid,Local comercial en venta en Carabanchel,"Opañel - San Isidro, Madrid","90,000",0, 34,unknown, 2,2023-10-15
798,Madrid,Box/plaza de garaje en venta en Calle Binéfar,"Carabanchel, Vista Alegre, Madrid","16,000",0, 1,unknown,unknown,2023-10-15
799,Madrid,Box/plaza de garaje en venta en Tetuán,"Berruguete, Madrid","13,000",0, 15,unknown,unknown,2023-10-15
800,Madrid,Box/plaza de garaje en venta en Arganzuela,"Acacias - Legazpi, Madrid","18,500",0, 16,unknown,unknown,2023-10-15
801,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","120,000",5, 45, 2, 1,2023-10-15
802,Madrid,Edificio en venta en Puente De Vallecas,"Numancia, Madrid","1,985,000",0, 677, 21,unknown,2023-10-15
803,Madrid,Box/plaza de garaje en venta en San Blas,"Rosas, Madrid","24,500",0, 15,unknown,unknown,2023-10-15
804,Madrid,Piso en venta en Latina,"Aluche, Madrid","135,000",0, 84,unknown, 1,2023-10-15
805,Madrid,Box/plaza de garaje en venta en San Blas,"Rosas, Madrid","12,000",0, 9,unknown,unknown,2023-10-15
